proposal_id,objective,family,family_name,class,overview,rationale,test_method,variation
B0016,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_usdjpy_h4;carry_audjpy_d1
A0017,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_usdjpy_h4;pairtrade_eurusd_gbpusd
B0017,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_usdjpy_h4;pullback_audjpy_h4
A0018,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_usdjpy_h4;pullback_gbpjpy_h4
B0018,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_usdjpy_h4;rsi_robust_eurusd_h1
A0019,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_usdjpy_h4;rsi_robust_gbpusd_h4
B0019,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_usdjpy_h4;rsi_robust_usdjpy_h4
A0020,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_usdjpy_h4;sca_gbpjpy_m15
B0020,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_usdjpy_h4;sca_usdjpy_m15
A0021,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_eurusd_h1;carry_audjpy_d1
B0021,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_eurusd_h1;pairtrade_eurusd_gbpusd
A0022,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_eurusd_h1;rsi_robust_gbpusd_h4
B0022,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_eurusd_h1;sca_gbpjpy_m15
A0023,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_eurusd_h1;sca_usdjpy_m15
B0023,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_gbpusd_h4;carry_audjpy_d1
A0024,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_gbpusd_h4;pairtrade_eurusd_gbpusd
B0024,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_gbpusd_h4;sca_gbpjpy_m15
A0025,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_gbpusd_h4;sca_usdjpy_m15
B0025,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_usdjpy_h4;carry_audjpy_d1
A0026,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_usdjpy_h4;pairtrade_eurusd_gbpusd
B0026,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_usdjpy_h4;rsi_robust_eurusd_h1
A0027,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_usdjpy_h4;rsi_robust_gbpusd_h4
B0027,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_usdjpy_h4;sca_gbpjpy_m15
A0028,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_usdjpy_h4;sca_usdjpy_m15
B0028,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: sca_gbpjpy_m15;carry_audjpy_d1
A0029,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: sca_gbpjpy_m15;pairtrade_eurusd_gbpusd
B0029,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: sca_usdjpy_m15;carry_audjpy_d1
A0030,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: sca_usdjpy_m15;pairtrade_eurusd_gbpusd
B0030,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: sca_usdjpy_m15;sca_gbpjpy_m15
A0031,A,A_composition_xm,XM口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,XM: bfxrev_btcusd_d1;fundingrev_btcusd_d1
B0031,B,B_composition_xm,XM口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,XM: eth_ea_d1;bfxrev_btcusd_d1
A0032,A,A_composition_xm,XM口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,XM: eth_ea_d1;fundingrev_btcusd_d1
B0032,B,B_composition_xm,XM口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,XM: pullback_gold_h4;bfxrev_btcusd_d1
A0033,A,A_composition_xm,XM口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,XM: pullback_gold_h4;eth_ea_d1
B0033,B,B_composition_xm,XM口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,XM: pullback_gold_h4;fundingrev_btcusd_d1
A0034,A,A_composition_xm,XM口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,XM: pullback_gold_h4;sca_gold_m15
B0034,B,B_composition_xm,XM口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,XM: sca_gold_m15;bfxrev_btcusd_d1
A0035,A,A_composition_xm,XM口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,XM: sca_gold_m15;eth_ea_d1
B0035,B,B_composition_xm,XM口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,XM: sca_gold_m15;fundingrev_btcusd_d1
A0036,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;pairtrade_eurusd_gbpusd;carry_audjpy_d1
B0036,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;rsi_robust_eurusd_h1;carry_audjpy_d1
A0037,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;rsi_robust_eurusd_h1;pairtrade_eurusd_gbpusd
B0037,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;rsi_robust_eurusd_h1;rsi_robust_gbpusd_h4
A0038,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;rsi_robust_eurusd_h1;sca_gbpjpy_m15
B0038,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;rsi_robust_eurusd_h1;sca_usdjpy_m15
A0039,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;rsi_robust_gbpusd_h4;carry_audjpy_d1
B0039,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;rsi_robust_gbpusd_h4;pairtrade_eurusd_gbpusd
A0040,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;rsi_robust_gbpusd_h4;sca_gbpjpy_m15
B0040,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;rsi_robust_gbpusd_h4;sca_usdjpy_m15
A0041,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;rsi_robust_usdjpy_h4;carry_audjpy_d1
B0041,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;rsi_robust_usdjpy_h4;pairtrade_eurusd_gbpusd
A0042,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;rsi_robust_usdjpy_h4;rsi_robust_eurusd_h1
